index,name,platform,rating,release_year
1683,Dragon Ball Z: La Legende Saien,SNES,NaN,NaN
1688,Nuclear Strike,PS,T,1997
1696,Disney's Chip 'n Dale: Rescue Rangers,NES,NaN,NaN
1698,The Dukes of Hazzard: Racing for Home,PS,NaN,NaN
1708,Mario & Sonic at the London 2012 Olympic Games,3DS,E,2011
1709,Pole Position,2600,NaN,1983
1713,Pro Yakyuu Family Stadium '88,NES,NaN,NaN
1718,Soviet Strike,PS,T,1996
1726,Mad Max (2015),PS4,NaN,NaN
1727,Romancing SaGa 2,SNES,NaN,1993
1738,Destruction Derby 2,PS,E,1996
1747,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,NaN,NaN
1763,Football Manager 2013,PC,NaN,2012
1764,Kaboom!,2600,NaN,NaN
1766,Qix,GB,NaN,1990
1767,Derby Stallion III,SNES,NaN,NaN
1768,Doraemon,NES,NaN,1986
1769,High School Musical 2: Work This Out!,DS,NaN,NaN
1773,Dragon Quest I & II,SNES,NaN,1993
1777,Puyo Puyo Sun Ketteiban,PS,NaN,NaN
1787,Resident Evil - Code: Veronica,DC,M,2000
1788,Super R.C. Pro-Am,GB,NaN,NaN
1791,Pilotwings,SNES,NaN,1991
1795,Royal Palace of White Sword and The City of Gentiles,PS2,NaN,NaN
1804,Derby Stallion 99,PS,NaN,1999
1813,Jampack Winter '98,PS,NaN,NaN
1815,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,NaN,NaN
1818,Moon Patrol,2600,NaN,1983
1826,Yoshi's Cookie,NES,NaN,NaN
1837,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,NaN,NaN
1849,Lumines: Puzzle Fusion,PSP,E10+,2005
1850,Megamania,2600,NaN,1982
1851,Jungle Hunt,2600,NaN,1983
1857,Famicom Jump: Eiyuu Retsuden,NES,NaN,NaN
1859,Popeye,NES,NaN,1986
1860,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,NaN,NaN
1864,SingStar Rocks!,PS2,NaN,NaN
1886,Densha De Go!,PS,NaN,NaN
1905,Disney Infinity 2.0: Marvel Super Heroes,X360,NaN,NaN
1913,Doko Demo Issyo,PS,NaN,1999
1919,Championship Manager 99/00,PC,NaN,NaN
1942,Simple 1500 Series Vol. 1: The Mahjong,PS,NaN,NaN
1946,Worms Armageddon,PS,E,1999
1965,Cosmic Ark,2600,NaN,1982
1971,Tag Team Match M.U.S.C.L.E.,NES,NaN,NaN
1972,Derby Stallion 96,SNES,NaN,NaN
2010,Donkey Kong Land III,GB,E,1997
2047,Championship Manager 3,PC,NaN,1999
2052,Oshare Majo Love and Berry: DS Collection,DS,NaN,NaN
2063,Game & Watch Gallery,GB,E,1997
2066,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,NaN,NaN
2068,PES 2009: Pro Evolution Soccer,X360,E,2008
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,NaN,NaN
2070,Road & Track Presents: The Need for Speed,PS,NaN,NaN
2072,NBA Live 97,PS,E,1996
2075,Jampack Winter 2000,PS,NaN,NaN
2097,Final Fantasy Type-0,PS4,NaN,NaN
2102,Tetris 2,NES,NaN,1993
2106,Air-Sea Battle,2600,NaN,1977
2109,Rocksmith 2014,PS3,NaN,NaN
2131,Donkey Kong Junior,2600,NaN,1983
2139,Dragon Quest X,Wii,NaN,NaN
2140,Jampack Summer '99,PS,NaN,NaN
