index,name,platform,rating,release_year
12959,Mountain Bike Adrenaline,PS2,E,2007
12970,Drill Dozer,GBA,E,2005
13060,Captain America: Super Soldier,DS,T,2011
13142,GRID,DS,NaN,NaN
13195,Tour de France 2011,X360,NaN,NaN
13289,Reader Rabbit 2nd Grade,Wii,NaN,NaN
13317,Monster Hunter Frontier Online,PS3,NaN,NaN
13564,RollerCoaster Tycoon,PC,E,1999
13609,Battle vs. Chess,PS3,NaN,NaN
13647,The History Channel: Great Battles - Medieval,PS3,T,2011
13672,Clockwork Empires,PC,NaN,2016
13711,B.L.U.E.: Legend of Water,PS,NaN,1998
13781,GRID,PC,RP,2019
13792,NHL Hitz Pro,GC,E,2003
13874,Luxor: Pharaoh's Challenge,Wii,NaN,NaN
13929,Sega Rally 2006,PS2,NaN,2006
14105,Half-Minute Hero 2,PSP,NaN,NaN
14126,Housekeeping,DS,NaN,NaN
14141,Major League Baseball 2K8,PSP,E,2008
14210,Sabre Wulf,GBA,E,2004
14252,Swords,Wii,NaN,NaN
14325,Beyond the Labyrinth,3DS,NaN,2012
14350,Bikkuriman Daijiten,DS,NaN,NaN
14369,Majesty 2: The Fantasy Kingdom Sim,X360,NaN,NaN
14449,Fullmetal Alchemist: Brotherhood,PSP,,2010
14546,Combat Elite: WWII Paratroopers,XB,T,2005
14597,Samurai Spirits: Tenkaichi Kenkakuden,PS2,NaN,NaN
14685,World of Tanks,X360,T,2014
14746,Battle vs. Chess,PC,E,2005
14749,Tom and Jerry in War of the Whiskers,XB,T,2003
14769,Super Duper Sumos,GBA,NaN,2003
14931,The King of Fighters: Maximum Impact - Maniax,XB,T,2004
14950,Combat Wings: The Great Battles of WWII,Wii,T,2012
15006,Tube Slider,GC,E,2003
15022,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,NaN,NaN
15079,Payout Poker & Casino,PSP,NaN,NaN
15081,Wii de Asobu: Metroid Prime,Wii,NaN,2009
15119,Legacy of Ys: Books I & II,DS,T,2009
15267,Saint,Wii,NaN,NaN
15292,Steal Princess,DS,NaN,2009
15338,Mario Tennis,3DS,NaN,NaN
15535,Runaway: A Twist of Fate,DS,T,2010
15557,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,NaN,NaN
15675,Cabela's Alaskan Adventure,PS2,T,2006
15704,Writing and Speaking Beautiful Japanese DS,DS,NaN,NaN
15754,Virtua Quest,PS2,T,2004
15795,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,NaN,NaN
15816,Without Warning,XB,M,2005
15953,PDC World Championship Darts 2008,DS,NaN,NaN
15966,Dinotopia: The Sunstone Odyssey,GC,T,2003
15998,Jet Impulse,DS,NaN,NaN
16017,Dream Dancer,DS,NaN,NaN
16059,Dance! It's Your Stage,Wii,NaN,NaN
16079,Football Manager 2007,X360,E,2006
16080,Ferrari: The Race Experience,Wii,NaN,2010
16157,Aquaman: Battle for Atlantis,XB,T,2003
16180,WRC: FIA World Rally Championship,PC,,2010
16277,Homeworld Remastered Collection,PC,E10+,2015
16288,Shorts,DS,NaN,NaN
16293,AKB1/48: Idol to Guam de Koishitara...,X360,NaN,NaN
16329,Brothers in Arms: Furious 4,X360,NaN,NaN
16348,Agarest Senki: Re-appearance,PS3,NaN,NaN
16373,PDC World Championship Darts 2008,PSP,,2008
16405,Freaky Flyers,GC,T,2003
16448,Inversion,PC,,2012
16458,Hakuouki: Shinsengumi Kitan,PS3,NaN,NaN
16522,Virtua Quest,GC,T,2004
